Item Name,Location,Quantity,Units,Supplier,Remark,Price,Invoice No.,Item Code
Bar and gauge,P1,1,pcs,Oriental,,,SO52109158,UNI-JTPHH-BG6A
Calorimeter (Heating Blocks of Aluminum, Brass, Copper and Steel),P1,1,pcs,,,,,
Conductometer,P1,1,pcs,,,,,
Conductometer,P1,8,pcs,Yik,,88.0,428924,PH3B
Convection in water apparatus (Comprising a rectangle of glass),P1,1,pcs,,,,,
Convection of Chimney,P1,1,pcs,,,,,
Immersion heater 12V 50W,P1,2,pcs,,,,416170,PH10A-C
Immersion heater 12V 50W,P1,3,pcs,Yik,,135.0,425314,PH10A-C
Laboratory Bench Power Supply,P1,1,pcs,,,,,
Liquid Convection Meter (12V 50W),P1,2,pcs,,,,,
Metal rods 200mm length,P1,1,pcs,,,,,
Demonstration Thermometer,P5,1,pcs,,,,,
Thermometer Clinical (Digital),P5,10,pcs,,,,,
Thermometer Digital (Stainlees Steel Probe),P5,15,pcs,,,,,
Thermometer Infrared,P5,1,pcs,,,,,
Thermometer Mercury (42ºC),P5,10,pcs,,,,,
Thermometer Mercury (200ºC),P5,10,pcs,,,,,
Thermometer Alcohol (100ºC),P5,8,pcs,,,,,
Thermometer Alcohol (200ºC),P5,2,pcs,,,,,
Thermal Thermometer,P5,1,pcs,,,,,
Sundial,P5,1,pcs,,,,,
Radiometer,P5,1.0,pcs,,,,,
Galileo thermometer,Prep room,1,pcs,Oriental,,,SO52109158,UNI-JTGLT-01B
Measuring tape steel,P3,7,pcs,,,,,
Measuring tape cloth,P3,9,pcs,,,,,
Micrometer,P3,5,pcs,,,,,
Hourglass,P3,10,pcs,,,,,
Ruler Steel,P3,8,pcs,,,,,
Stopwatch Analogue,P3,5,pcs,,,,,
Stopwatch Digital,P3,15,pcs,,,,,
Vernier Caliper,P3,5,pcs,,,,,
10mm - Triangular Prism (wide side length),P4.1,1,pcs,,,,,
200mm-Triangular prism equilateral (Amlong cyrstal),P4.1,5,ps,Online order,,,,
20mm - Triangular Prism (wide side length),P4.1,1,pcs,,,,,
30mm - Triangular Prism (wide side length),P4.1,10,pcs,,,,,
40mm - Triangular Prism (wide side length),P4.1,10,pcs,,,,,
Camera pinhole camera,P4.1,1,pcs,,,,,
Color Mixing Apparatus,P4.1,5,pcs,,,,,
Hand Spectroscope,P4.2,4,pcs,Yik,,120,425314,1003011
Hand Spectroscope (Spectrometer Kit - Plastic),P4.1,1,pcs,Yik,,,,PO33A
Laser Optical demonstrating,P4.1,1,pcs,,,,,
Laser Pen,P4.1,7,pcs,,,,,
Laser pen (small),P4.1,6,pcs,,,,,
Laser pen green,P4.1,1,pcs,Oriental,,240,SI52219413,
Mirror,P4.1,55,pcs,,,,,
Newton Disc miniature,P4.1,1,pcs,,,,,
Optical Bench Demo Kit 1,P4.1,8.0,pcs,,,,,
Optical Bench Demo Kit 2,P4.1,10.0,pcs,,,,,
Plane mirror with support stand,P4.1,10,pcs,,,,,
Ray box kit set (IEC),P4.1,1,pcs,,,,,
Ray box kit set (IEC),P4.1,1,pcs,Oriental,,390,SO52109149,
Block rectangular acrylic 100 x 60x 18mm,P4.2,10,pk of 10,Yik,,330,425314,
Block rectangular acrylic 160 x 60x 25mm,P4.2,2,pcs,Yik,,55,425314,
Block semicircular perspex,P4.2,8,pcs,Oriental,,40,SI52219413,
Curved rod acrylic,P4.2,1,pcs,Yik,,54,428924,PO19A-A
Signal generator (low impedance),P4.1,1,pcs,,for inspection,,,
Torch (flash light),P4.1,24,pcs,,,,,
Convex and Concave Spherical (double sided mirror),P4.2,3,pcs,,,,,
Convex Lenses (FL 5cm),P4.2,7,pcs,,,,,
Convex Lenses (FL 7.5cm),P4.2,2,pcs,,,,,
Convex Lenses (FL 10cm),P4.2,8,pcs,,,,,
Convex Lenses (FL 30cm),P4.2,10,pcs,,,,,
Concave Lense (FL 30cm),P4.2,12,pcs,,,,,
Hand Lens,P4.2,8,pcs,,,,,
Laser with semicircular block set of 2,P4.2,10,pcs,,,,,
Laser Safety Googles,P1,5,pcs,,,,,
Magnifying Glass (80 mm),P4.2,1,pcs,,,,,
Microscope,P4.2,1,pcs,,,,,
Prism Equilateral,P4.2,8,pcs,,with 2 stand support only,,,
Signal generator,P4.2,1,pcs,,,,,
Simple Telescope,P4.2,1,pcs,,,,,
Spectroscope,P4.2,1,pcs,,,,,
Optical Fibre (1mm diameter 10m long),P4.2,1,pcs,,,,,
Oscilloscope dual trace,P4.2,1,pcs,,for inspection ,,,
Colour filter,P4.2,1,pcs,,missing,,,
Motarised solar system,Corridor shelf,1,set,Oriental,,575,SO52109158,PHL-E8R09414
Spectrum tube Hydrogen with power supply,Prep room,1,set,Oriental,,1300,SO52109158,MCP-P218105
Cathode Ray Tube,P9.1,2,pcs,,,,,
Bell with stand,P7 ,2,pcs,Oriental,see also P11.3,,SO52109158,UNI-JTPHE-C100A
Bell Jar with vaccum plate,P7 ,1,pcs,,,,,
Doppler Ball,P7 ,1,pcs,,,,,
Gears generate sound,P7 ,1,pcs,,,,,
Loudspeaker unit,P7 ,2,pcs,,,,,
Microphone,P7,1,pcs,Oriental,,527.0,SI52219413,
Long Spring,P7 ,1,pcs,,,,,
Metronome,P7 ,1,pcs,,,,,12010
Sound Propagation Demo,P7 ,1,pcs,,,,,
Sound Level Meter,P7 ,2,pcs,,,,,
Tuning Fork (small),P7 ,1,pcs,,,,,
Tuning Fork (big),P7 ,1,pcs,,,,,
Slingky springs,P7 ,2,pcs,,,,,
Vibration Generator,P7 ,1,pcs,,,,,
Ultrasound Demo Set,P7,1,set,,,,,22008
Dynamometer hand grip,P9.1,1,pcs,,,,,
Hand Operated D.C. Generator,P9.1,1,pcs,,,,,
Inertia Demo Set,P9.1,2,pcs,,,,,
Newton Cradle,P9.1,1,pcs,,,,,
Pendulum bob 25mm brass with hook,P9.1,5,pcs,Yik,,40,428924,PM20
Pendulum bob,P9.1,10,pcs,,,,,
Principle of Motor Demo,P9.1,1,pcs,,,,,
Steel balls,P9.1,8,pcs,,,,,
Test Tubes - Short rimless,C9.2,55.0,pcs,,,,,
Test Tubes - Long rimless,C9.2,51.0,pcs,,,,,
Brush for Beaker,C11,4,pcs,,,,,
Brush for Burette,C11,20,pcs,,,,,
Brush for Test Tube,C11,35,pcs,,,,,
Pipe Clay Triangle,C11,9,pcs,,,,,
Tripod,C11,20,pcs,,,,,
Wire Gauze,C11,26,pcs,,,,,
Bunsen Burner,C13.1,16,pcs,,,,,
Droppers (1ml),C13.1,1,box,,,,,
Droppers (3ml),C13.1,1,box,,,,,
Test Tube Rack (Metal),C13.1,15,pcs,,,,,
Test Tube Rack (Platic),C13.1,20,pcs,,,,,
Burette Stand,C13.2,4,pcs,,,,,
Glass Trough,C13.2,2,pcs,,,,,
Funnel (Glass),C15,9,pcs,,,,,
Funnel (Plastic),C15,1,pcs,,,,,
Small Funnel (glass),C15,6,pcs,,,,,
Wash Bottle,C15,6,pcs,,,,,
BEAKERS - 50 ml,C17.1,9.0,pcs,,,,,
BEAKERS - 100 ml,C17.1,39.0,pcs,,,,,
BEAKERS - 1000 ml,C17.1,6.0,pcs,,,,,
BEAKERS - 250 ml,C17.1,43.0,pcs,,,,,
5L Aspirator Water Bottle,C19.4,1,pcs,,,,,
Burette (25ml),C19.2,15,pcs,,,,,
Burette (50ml),C19.2,2,pcs,,,,,
Burette Clamp,C19.2,10,pcs,,,,,
Conical Flask (150ml),C19.3,38,pcs,,,,,
Conical Flask (250ml),C19.3,20,pcs,,,,,
Filtering Sunction Flask,C19.3,5,pcs,,,,,
Forceps (big),C19.2,5,pcs,,,,,
Forceps (small),C19.2,18,pcs,,,,,
Lab Jack,C19.3,2,pcs,,,,,
Pipette filler (bulb),C19.2,21,pcs,,,,,
Pipette pump,C19.2,17,pcs,,,,,
